,Instance,Solution
73,"[5, 19, 0, 16, 0, 17, 5, 13, 2, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 2]","[7, 14, 17, 20]"
74,"[16, 19, 0, 14, 0, 17, 5, 13, 20, 14, 0, 18, 9, 0, 16, 15, 6, 0, 0, 13]","[7, 10, 12, 15, 17, 20]"
75,"[16, 19, 0, 16, 1, 0, 0, 0, 13, 14, 0, 18, 8, 4, 0, 0, 6, 0, 2, 13]","[5, 12, 14, 17, 20]"
76,"[0, 0, 0, 16, 0, 17, 3, 13, 13, 14, 20, 15, 0, 0, 16, 4, 6, 0, 7, 0]","[8, 10, 11, 15, 17, 19]"
77,"[16, 0, 0, 16, 0, 2, 3, 13, 2, 0, 9, 0, 9, 0, 16, 0, 0, 0, 7, 2]","[8, 11, 15, 19]"
78,"[0, 6, 11, 16, 7, 2, 5, 13, 11, 14, 3, 15, 8, 0, 4, 0, 0, 16, 0, 13]","[5, 6, 8, 10, 11, 12, 18]"
79,"[5, 20, 0, 0, 1, 0, 0, 13, 0, 0, 9, 18, 2, 4, 4, 18, 0, 0, 2, 13]","[5, 8, 11, 12, 15, 19]"
80,"[16, 9, 0, 15, 7, 17, 0, 0, 2, 0, 0, 18, 8, 10, 4, 0, 6, 0, 2, 0]","[5, 12, 13, 15, 17]"
81,"[5, 0, 11, 18, 0, 17, 3, 13, 13, 14, 0, 0, 0, 0, 12, 15, 6, 16, 0, 11]","[1, 3, 8, 10, 15, 17]"
82,"[5, 9, 7, 0, 1, 0, 0, 0, 20, 14, 20, 18, 8, 0, 16, 0, 0, 16, 7, 9]","[10, 12, 15, 19, 20]"
83,"[5, 6, 11, 0, 7, 2, 0, 0, 11, 0, 0, 0, 8, 10, 0, 0, 6, 16, 2, 2]","[5, 9, 13, 17, 18]"
84,"[0, 13, 7, 15, 1, 0, 3, 0, 20, 0, 9, 18, 0, 0, 0, 0, 6, 0, 0, 11]","[5, 7, 12, 17, 20]"
85,"[5, 0, 0, 14, 0, 17, 3, 0, 0, 14, 9, 0, 8, 4, 0, 0, 0, 4, 7, 9]","[1, 6, 10, 18, 19, 20]"
86,"[16, 9, 0, 15, 0, 0, 19, 13, 0, 14, 0, 0, 0, 0, 0, 0, 6, 4, 0, 0]","[7, 8, 10, 17, 18]"
87,"[16, 0, 0, 15, 0, 0, 3, 0, 13, 14, 0, 18, 2, 0, 0, 0, 6, 0, 7, 9]","[1, 10, 12, 17, 19, 20]"
88,"[5, 6, 11, 0, 1, 0, 19, 13, 13, 14, 20, 18, 8, 0, 0, 1, 6, 0, 7, 0]","[5, 7, 8, 10, 11, 12, 17]"
89,"[5, 9, 7, 18, 7, 2, 0, 13, 20, 0, 0, 0, 2, 16, 16, 4, 0, 0, 7, 0]","[1, 3, 6, 8, 16]"
90,"[0, 20, 7, 14, 1, 17, 5, 0, 0, 0, 0, 0, 8, 4, 0, 1, 0, 12, 2, 9]","[6, 7, 16, 18, 20]"
91,"[5, 0, 0, 14, 0, 17, 3, 0, 11, 0, 0, 18, 0, 0, 12, 0, 0, 0, 2, 0]","[4, 6, 7, 9, 15]"
92,"[5, 9, 0, 15, 0, 2, 0, 0, 2, 14, 20, 0, 9, 0, 0, 4, 0, 12, 0, 0]","[1, 6, 10, 11, 18]"
93,"[5, 0, 7, 0, 1, 0, 19, 13, 0, 14, 9, 15, 0, 10, 4, 1, 6, 0, 2, 11]","[5, 8, 11, 12, 14, 17, 19]"
94,"[16, 0, 11, 18, 0, 2, 19, 0, 11, 14, 0, 0, 0, 0, 16, 0, 0, 0, 7, 0]","[3, 6, 7, 10, 15]"
95,"[0, 19, 0, 18, 0, 2, 5, 13, 0, 14, 20, 18, 9, 4, 16, 0, 0, 16, 0, 0]","[6, 7, 8, 10, 11, 12, 15]"
96,"[5, 0, 11, 16, 1, 2, 0, 13, 13, 0, 9, 15, 0, 0, 4, 0, 6, 0, 7, 0]","[1, 8, 11, 15, 17, 19]"
97,"[5, 6, 11, 14, 0, 0, 19, 13, 11, 0, 9, 0, 8, 16, 4, 1, 6, 0, 7, 2]","[1, 9, 13, 15, 17, 19]"
98,"[5, 9, 11, 0, 0, 17, 0, 0, 0, 14, 9, 18, 20, 16, 12, 1, 6, 16, 2, 13]","[1, 10, 11, 15, 17, 19]"
99,"[16, 20, 0, 0, 7, 17, 5, 13, 11, 0, 0, 15, 0, 0, 16, 18, 6, 0, 7, 0]","[1, 9, 12, 17, 19]"
100,"[16, 13, 11, 15, 0, 17, 3, 0, 20, 14, 0, 15, 2, 0, 16, 4, 6, 4, 2, 9]","[7, 10, 12, 17, 18, 20]"
101,"[16, 0, 0, 0, 0, 2, 5, 13, 0, 0, 0, 18, 8, 0, 4, 0, 6, 0, 2, 0]","[7, 8, 12, 15, 17, 19]"
102,"[16, 9, 0, 0, 1, 2, 0, 13, 2, 0, 20, 0, 2, 16, 0, 0, 0, 0, 0, 9]","[5, 6, 8, 11, 14]"
103,"[16, 0, 0, 16, 1, 2, 3, 13, 2, 14, 3, 0, 8, 4, 0, 0, 6, 0, 7, 0]","[1, 10, 11, 13, 17, 19]"
104,"[0, 0, 11, 0, 0, 0, 0, 13, 0, 14, 3, 15, 2, 4, 0, 0, 0, 0, 0, 13]","[11, 12, 14, 20]"
105,"[0, 6, 11, 0, 0, 2, 5, 13, 0, 14, 0, 0, 0, 10, 16, 4, 6, 12, 0, 0]","[3, 7, 8, 14, 17, 18]"
106,"[16, 13, 0, 16, 0, 0, 3, 13, 20, 14, 20, 18, 0, 0, 0, 14, 6, 16, 2, 9]","[1, 8, 10, 11, 12, 17, 19]"
107,"[5, 13, 0, 16, 0, 17, 0, 13, 0, 0, 3, 0, 0, 0, 0, 18, 6, 0, 7, 9]","[1, 8, 11, 16, 17, 19]"
108,"[0, 9, 7, 15, 0, 0, 0, 0, 0, 14, 0, 15, 2, 16, 12, 4, 6, 0, 0, 0]","[3, 12, 13, 14, 17]"
109,"[5, 0, 11, 14, 1, 0, 3, 13, 11, 14, 20, 18, 2, 16, 0, 18, 6, 0, 2, 0]","[5, 8, 11, 12, 14, 17, 19]"
110,"[16, 0, 0, 14, 7, 2, 0, 13, 0, 14, 9, 15, 0, 4, 0, 1, 6, 16, 0, 13]","[5, 8, 10, 11, 12, 17, 18]"
111,"[0, 0, 7, 0, 1, 0, 0, 0, 2, 0, 0, 18, 0, 10, 0, 0, 0, 0, 0, 13]","[5, 12, 14, 20]"
112,"[5, 6, 11, 15, 7, 2, 0, 13, 20, 0, 0, 0, 20, 0, 4, 14, 6, 4, 7, 13]","[1, 17, 18, 19, 20]"
113,"[5, 13, 7, 0, 1, 0, 0, 13, 11, 0, 0, 15, 0, 10, 0, 1, 6, 0, 2, 0]","[5, 8, 12, 14, 17, 19]"
114,"[0, 19, 7, 16, 0, 0, 0, 0, 11, 14, 0, 18, 0, 4, 16, 14, 0, 16, 0, 0]","[2, 9, 10, 12, 15]"
115,"[16, 0, 11, 15, 0, 17, 19, 0, 0, 14, 0, 15, 0, 0, 0, 14, 6, 0, 2, 0]","[1, 3, 10, 12, 17, 19]"
116,"[5, 0, 7, 16, 0, 17, 0, 0, 20, 0, 0, 18, 0, 16, 4, 14, 6, 0, 0, 9]","[1, 3, 12, 15, 17, 20]"
117,"[16, 0, 11, 14, 0, 17, 3, 0, 11, 0, 20, 15, 20, 16, 4, 15, 0, 0, 7, 9]","[6, 12, 14, 19, 20]"
118,"[5, 19, 0, 16, 0, 0, 3, 13, 0, 0, 0, 15, 0, 10, 4, 0, 6, 0, 0, 9]","[7, 12, 14, 17, 20]"
119,"[16, 0, 7, 16, 0, 17, 19, 0, 13, 0, 0, 0, 0, 0, 16, 4, 6, 16, 0, 2]","[7, 17, 18, 20]"
120,"[16, 13, 7, 16, 1, 17, 0, 13, 0, 0, 20, 0, 8, 4, 12, 14, 6, 4, 7, 2]","[8, 11, 15, 16, 17, 19]"
121,"[0, 9, 0, 15, 0, 2, 3, 13, 13, 0, 20, 18, 0, 0, 0, 4, 0, 0, 0, 9]","[6, 8, 11, 16]"
122,"[0, 0, 0, 16, 7, 0, 3, 13, 13, 14, 20, 18, 20, 4, 0, 18, 0, 0, 7, 2]","[8, 11, 12, 14, 19]"
123,"[16, 0, 11, 0, 0, 2, 5, 0, 20, 14, 3, 0, 9, 16, 12, 0, 6, 0, 0, 2]","[3, 7, 10, 13, 15, 17]"
124,"[0, 6, 7, 16, 0, 2, 3, 0, 20, 0, 3, 0, 8, 4, 4, 15, 0, 0, 7, 2]","[2, 11, 13, 16, 19]"
125,"[0, 19, 0, 16, 7, 0, 0, 13, 2, 0, 0, 15, 8, 4, 0, 18, 6, 0, 7, 9]","[12, 14, 17, 19, 20]"
126,"[16, 19, 0, 15, 1, 2, 0, 0, 0, 14, 3, 15, 8, 4, 16, 18, 0, 16, 2, 0]","[2, 5, 10, 11, 12, 13, 18]"
127,"[0, 19, 11, 0, 0, 0, 5, 13, 13, 0, 9, 15, 2, 0, 0, 14, 6, 0, 7, 2]","[8, 11, 16, 17, 19]"
128,"[16, 0, 0, 0, 1, 0, 5, 13, 11, 0, 9, 15, 0, 0, 0, 15, 0, 16, 0, 2]","[7, 8, 11, 12, 18]"
129,"[16, 0, 11, 0, 1, 17, 5, 0, 13, 14, 3, 15, 0, 4, 4, 1, 6, 0, 2, 13]","[5, 11, 12, 14, 17, 20]"
130,"[5, 19, 0, 0, 0, 0, 5, 0, 11, 14, 3, 15, 0, 4, 0, 14, 6, 4, 7, 0]","[1, 10, 11, 12, 17, 18, 19]"
131,"[5, 0, 7, 15, 1, 0, 0, 13, 20, 0, 20, 15, 8, 0, 0, 0, 6, 0, 2, 0]","[5, 8, 11, 12, 17, 19]"
132,"[5, 9, 11, 14, 1, 0, 5, 0, 2, 0, 9, 18, 2, 4, 16, 0, 0, 16, 2, 9]","[7, 11, 12, 15, 19]"
133,"[16, 0, 11, 0, 7, 17, 3, 0, 13, 14, 0, 18, 8, 10, 16, 1, 0, 16, 7, 9]","[6, 10, 12, 15, 19, 20]"
134,"[16, 0, 11, 18, 1, 2, 19, 13, 0, 14, 0, 18, 0, 0, 0, 14, 6, 16, 2, 0]","[3, 5, 8, 10, 17, 18, 19]"
135,"[0, 20, 0, 18, 7, 0, 5, 0, 0, 14, 0, 15, 0, 4, 0, 1, 6, 12, 0, 11]","[7, 16, 17, 18, 20]"
136,"[0, 9, 0, 0, 7, 2, 3, 0, 13, 14, 20, 18, 0, 16, 0, 18, 6, 12, 2, 13]","[11, 12, 14, 17, 19]"
137,"[0, 0, 11, 16, 0, 2, 5, 0, 0, 14, 0, 18, 9, 0, 12, 0, 0, 4, 7, 0]","[3, 7, 10, 13, 18]"
138,"[0, 20, 7, 16, 0, 17, 5, 13, 0, 14, 3, 0, 0, 10, 16, 0, 0, 0, 0, 13]","[6, 10, 11, 15, 20]"
139,"[0, 0, 0, 0, 7, 2, 0, 13, 11, 0, 0, 0, 0, 0, 16, 14, 0, 16, 7, 0]","[5, 6, 8, 18]"
140,"[0, 19, 0, 16, 0, 2, 19, 13, 20, 0, 20, 0, 8, 10, 0, 0, 6, 12, 0, 0]","[7, 8, 11, 14, 17, 18]"
141,"[16, 9, 7, 16, 1, 17, 0, 13, 20, 14, 0, 15, 9, 16, 0, 14, 0, 12, 0, 0]","[1, 3, 6, 10, 12, 13]"
142,"[5, 13, 11, 14, 7, 0, 3, 0, 0, 14, 0, 18, 2, 0, 16, 0, 6, 0, 2, 0]","[7, 10, 12, 15, 17, 19]"
143,"[16, 0, 0, 16, 0, 0, 0, 13, 11, 14, 0, 0, 20, 10, 0, 0, 6, 16, 7, 0]","[10, 13, 17, 18, 19]"
144,"[5, 0, 0, 0, 7, 17, 0, 13, 2, 0, 0, 18, 8, 4, 12, 14, 6, 0, 7, 2]","[1, 13, 15, 16, 17, 19]"
145,"[5, 9, 0, 15, 0, 17, 0, 0, 0, 0, 3, 0, 9, 0, 0, 0, 0, 16, 7, 0]","[1, 4, 6, 13, 19]"
146,"[0, 0, 0, 16, 0, 0, 19, 0, 13, 0, 20, 0, 20, 0, 12, 14, 6, 4, 0, 0]","[7, 13, 15, 16, 17]"
147,"[5, 0, 0, 0, 1, 0, 5, 13, 0, 14, 20, 0, 0, 0, 16, 15, 6, 0, 7, 13]","[8, 10, 11, 15, 17, 19]"
148,"[5, 9, 11, 14, 7, 17, 0, 13, 0, 14, 0, 18, 0, 10, 12, 0, 6, 16, 2, 2]","[1, 3, 8, 14, 15, 17, 19]"
149,"[0, 20, 0, 14, 1, 0, 3, 0, 13, 14, 0, 0, 0, 16, 0, 18, 6, 0, 2, 2]","[5, 7, 14, 17, 20]"
150,"[0, 13, 7, 0, 7, 17, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 12, 0, 0]","[2, 5, 6, 18]"
151,"[0, 19, 11, 0, 1, 2, 19, 0, 11, 14, 3, 18, 8, 10, 0, 0, 6, 16, 0, 11]","[5, 7, 12, 13, 14, 17, 20]"
152,"[0, 9, 11, 18, 0, 2, 0, 13, 11, 14, 3, 0, 2, 4, 0, 0, 6, 4, 7, 13]","[10, 11, 17, 18, 19, 20]"
153,"[5, 19, 0, 15, 0, 0, 0, 0, 0, 0, 3, 15, 0, 0, 0, 0, 0, 12, 2, 0]","[1, 4, 11, 18, 19]"
154,"[0, 20, 11, 0, 0, 0, 5, 13, 11, 14, 0, 15, 20, 0, 16, 15, 0, 4, 7, 2]","[3, 7, 10, 12, 13, 18]"
155,"[16, 13, 11, 14, 0, 0, 0, 13, 0, 14, 0, 18, 0, 4, 4, 0, 6, 12, 2, 9]","[3, 8, 10, 12, 15, 17, 19]"
156,"[0, 0, 0, 16, 0, 2, 3, 13, 0, 0, 0, 15, 20, 0, 16, 0, 0, 4, 0, 9]","[6, 7, 8, 12, 18]"
157,"[5, 0, 7, 0, 0, 2, 19, 0, 2, 0, 20, 15, 8, 0, 0, 18, 6, 0, 0, 9]","[1, 3, 16, 17, 20]"
158,"[5, 9, 11, 16, 7, 0, 0, 13, 11, 14, 20, 0, 8, 4, 16, 18, 6, 0, 2, 0]","[8, 10, 11, 15, 17, 19]"
159,"[0, 0, 0, 0, 1, 17, 0, 0, 20, 0, 20, 18, 20, 0, 4, 1, 6, 0, 0, 13]","[5, 12, 15, 17, 20]"
160,"[16, 6, 7, 0, 0, 2, 0, 13, 11, 0, 0, 18, 9, 0, 0, 14, 0, 0, 0, 0]","[1, 3, 6, 8, 12]"
161,"[5, 13, 11, 14, 1, 17, 3, 0, 0, 14, 0, 0, 2, 4, 16, 0, 6, 0, 7, 0]","[5, 7, 10, 13, 15, 17]"
162,"[16, 6, 11, 0, 1, 0, 0, 13, 2, 14, 0, 15, 9, 16, 16, 0, 6, 0, 0, 0]","[3, 5, 12, 13, 14, 17]"
163,"[5, 13, 7, 18, 7, 0, 0, 0, 0, 14, 0, 15, 20, 4, 16, 0, 6, 16, 2, 0]","[5, 10, 12, 13, 17, 18]"
164,"[5, 19, 11, 18, 0, 0, 0, 13, 13, 0, 9, 0, 20, 16, 4, 15, 0, 0, 0, 13]","[1, 8, 11, 16]"
165,"[16, 20, 7, 0, 0, 2, 0, 0, 0, 0, 20, 0, 8, 4, 0, 18, 0, 0, 0, 0]","[3, 6, 11, 16]"
166,"[5, 0, 7, 0, 0, 2, 0, 13, 0, 14, 0, 0, 8, 0, 12, 14, 6, 0, 0, 13]","[1, 3, 15, 16, 17, 20]"
167,"[16, 0, 0, 18, 0, 17, 5, 0, 11, 14, 0, 0, 0, 0, 12, 18, 6, 4, 0, 2]","[7, 15, 16, 17, 20]"
168,"[5, 0, 0, 0, 0, 17, 0, 13, 13, 14, 3, 15, 8, 0, 16, 0, 6, 16, 0, 2]","[10, 11, 12, 17, 18, 20]"
